a,b,c
8,4,8
8,3,6
17,2,0
16,6,11
10,17,8
0,13,10
11,16,9
20,0,10
18,4,12
1,15,5
15,10,11
11,6,11
14,7,19
5,1,8
15,8,16
13,17,3
19,0,17
6,5,8
13,11,8
7,12,18
18,18,4
15,16,2
9,1,1
10,14,3
11,20,9
7,7,14
0,6,16
7,20,4
7,12,15
2,3,13
20,4,6
16,3,7
18,11,1
7,10,9
9,10,1
7,9,0
13,9,5
14,17,2
19,12,20
1,12,0
9,8,6
20,12,14
12,10,7
1,3,10
14,7,6
2,11,7
5,19,17
1,9,17
15,11,9
4,20,5
7,15,20
14,11,7
1,2,18
3,2,2
1,15,15
2,16,20
18,15,11
19,0,5
6,16,12
13,7,18
10,10,1
3,19,16
12,6,9
10,19,20
10,15,4
19,0,5
20,14,0
19,15,13
8,13,10
17,3,6
17,10,5
19,14,2
18,11,20
8,9,9
10,16,11
20,13,8
5,18,10
19,8,6
9,17,0
15,5,20
5,9,9
2,4,3
18,0,0
16,17,16
15,10,4
5,10,8
20,14,12
4,11,5
15,6,10
19,13,8
6,5,3
5,18,3
12,11,8
8,6,13
14,9,14
17,11,20
4,9,13
9,8,4
6,11,11
20,5,11
3,6,0
20,0,6
10,7,2
3,13,20
16,20,11
9,9,11
16,7,13
2,4,2
5,16,8
7,4,11
17,2,15
0,16,15
7,9,2
7,5,10
14,12,17
15,9,20
18,4,19
4,1,14
14,4,2
0,16,15
9,20,7
19,12,14
20,4,13
3,20,2
0,0,10
12,9,17
4,13,17
1,13,19
13,8,10
2,16,3
1,2,0
17,17,15
9,15,13
7,20,15
5,13,16
20,1,20
9,15,2
10,19,19
0,12,9
17,0,5
14,10,19
14,20,9
5,6,15
0,13,16
10,19,9
6,12,4
9,7,6
13,6,1
12,12,15
16,10,19
11,19,15
12,16,1
20,1,1
10,14,1
9,18,2
7,10,18
1,0,18
8,11,15
0,7,5
11,10,11
7,10,18
2,1,16
9,18,8
2,1,10
8,20,5
15,6,11
12,2,4
8,0,20
0,5,12
6,16,4
14,18,6
0,19,4
4,2,9
13,0,8
0,11,18
10,16,5
9,20,12
11,13,12
10,6,18
9,5,9
10,0,12
1,11,12
9,3,16
3,2,20
2,0,17
6,6,2
2,7,5
10,19,0
13,18,15
20,20,15
20,13,3
10,1,2
14,3,18
8,15,15
6,14,1
11,16,13
5,12,9
12,19,12
18,1,20
12,6,4
8,1,20
18,18,10
17,4,2
11,11,9
19,19,2
6,2,14
1,20,8
17,15,13
12,12,16
9,12,18
19,17,5
7,15,12
0,16,19
10,14,0
13,2,20
5,18,9
